ID,name,url,location,no. of reviews,description,tuition,enrollment
95,University of Delaware,https://www.usnews.com//best-colleges/university-of-delaware-1431,"Newark, DE",15 reviews,"For students interested in attending the University of Delaware, it pays to live in the state. The University of Delaware admits all Delaware residents whose academic records predict success, and about 65 percent who apply will be accepted. About half (45-55 percent) of all out-of-state applicants are admitted. For all who receive admission, there are more than 400 student clubs and organizations on the school\'92s lush campus in downtown Newark. Nearly 20 percent of students are involved in the school's large Greek system, which has about 40 fraternities and sororities. The Fightin' Blue Hens sports teams, named after a Delaware Revolutionary War battalion with the same nickname, compete in the NCAA Division I Colonial Athletic Association. The mascot is a costumed bird named YoUDee, and a group of live Blue Hen chickens reside on the school farm. Freshmen must live on campus, unless they commute from a parent's local home. When students want to leave campus, Wilmington is about 12 miles away. Philadelphia is a 45-mile drive and Baltimore is 55 miles away. The University of Delaware ran the nation's first study abroad program in 1923, and, these days, about a third of undergraduates opt to spend time in another country.The University of Delaware offers more than 150 graduate degree programs, including some through the highly ranked School of Education and College of Engineering. In addition to its main location in Newark, the university has campuses throughout Delaware. The school also has a sea-faring research facility, a 146-foot ship called Hugh R. Sharp. As a land, sea and space grant institution, the University of Delaware receives federal funding for research in all three areas. Notable University of Delaware alumni include U.S. Vice President Joe Biden; Robert Gore, the inventor of Gore-Tex; and Chuck Lewis, founder of the Center for Public Integrity. ","$36,880(out-of-state)","18,420(fall 2020)"
96,University of Denver,https://www.usnews.com//best-colleges/university-of-denver-1371,"Denver, CO",12 reviews,"The University of Denver, known as DU, has a women\'92s college that female students can opt to enroll in courses. The university is also home to the well-regarded Sturm College of Law. Students can participate in more than 100 student clubs and organizations, including about 15 fraternities and sororities. Freshmen and sophomores must live on campus, with some exceptions. Student athletes compete on the Denver Pioneers sports teams, members of the NCAA Division I Summit League. The school's ski team has won more national championships than any other program in the country. Notable alumni include former U.S. Secretary of State Condoleezza Rice; comedian David Adkins, known as Sinbad; and Peter Coors, former CEO of MillerCoors.","$54,819 ","5,699(fall 2020)"
97,University of San Diego,https://www.usnews.com//best-colleges/university-of-san-diego-10395,"San Diego, CA",8 reviews,"The University of San Diego is a Roman Catholic institution open to students of all faiths. The school overlooks Mission Bay, and downtown San Diego is about a 15-minute trip away. On campus, there are more than 100 student organizations, including more than 10 fraternities and sororities. Most of the San Diego Torero sports teams are members of the NCAA Division I West Coast Conference; the football team competes in the NCAA Division I-AA Pioneer League. Athletic teams are cheered on by the school's mascot, a costumed bullfighter named Diego Torero. The University Ministry coordinates retreats and immersion trips and hosts daily Mass services, including a special Mass for Peace on Wednesday nights.After class, students can relax at nearby beaches, like La Jolla and Pacific Beach, or explore Balboa Park, the biggest urban cultural park in the country, which is home to 15 museums, the San Diego Zoo and the Old Globe Theatre. Opportunities to kayak, sail, wind surf and more are nearby. Students can join group excursions, led by the school\'92s Outdoor Adventures program, or rent kayaks, surfboards and snorkel equipment on campus for trips on their own. Freshmen must live on campus, and for students around on the weekends, the school hosts a Friday Night Movies series.The University of San Diego has a variety of graduate programs, including a Tier 1 School of Law and an accredited paralegal program. Some enrichment programs are specific to the school's religious foundation, like the Center for Christian Spirituality and the Oscar Romero Center for Faith in Action. Notable alumni include Lowell McAdam, chairman and CEO of Verizon Communications; Theo Epstein, president of baseball operations for the Chicago Cubs; and Andrew Firestone, a former contestant on  ABC\'92s ""The Bachelor.""","$52,864 ","5,529(fall 2020)"
98,Auburn University,https://www.usnews.com//best-colleges/auburn-university-1009,"Auburn, AL",10 reviews,"Auburn, Alabama, has been ranked one of the best places to live, and life at Auburn University can be similarly enjoyable for students. Football is a particularly big attraction in the fall, as fans support the Auburn Tigers with the help of school mascot Aubie the Tiger. The Tiger sports teams compete in the NCAA Division I Southeastern Conference, and the influx of football fans makes Auburn the fifth-largest city in the state on game days. Pep rallies are held in the downtown Toomer's Corner, and the area is covered in toilet paper by fans after every big victory. There are more than 500 student organizations on campus, and about 6,000 students are involved in the school's Greek system. Auburn freshmen ease into the college transition through Camp War Eagle, a two-day, overnight summer orientation program. Transition help continues on Hey Day, an annual effort to get students to wear name tags and say hello to one another. Freshmen do not have to live on campus; in fact, a dorm room isn't even guaranteed. Because of space restraints, first-year students are awarded on-campus living assignments on a first-come, first-served basis.As a land, sea and space grant institution, Auburn University receives federal funding for research projects that benefit the larger community. The school has an Urban Studio, where students can participate in community projects, and a Rural Studio, aimed at finding housing solutions for residents of West Alabama. Research projects include storage facilities for nuclear waste. The university also offers unique programs, such as the first wireless engineering program in the country. Notable Auburn alumni include Apple CEO Tim Cook, Oscar- and Golden Globe-winning actress Octavia Spencer, and Olympic gold medalist swimmer Rowdy Gaines.","$31,956(out-of-state)","24,505(fall 2020)"
99,University of Colorado Boulder,https://www.usnews.com//best-colleges/university-of-colorado-boulder-1370,"Boulder, CO",20 reviews,"The University of Colorado Boulder, called CU Boulder for short, lays against the majestic backdrop of the Rocky Mountains. Boulder is a lively college town with more than 80 miles of biking and walking trails. In the evenings, students can travel anywhere within the city limits for free in CU NightRide shuttles, which run until 1:15 a.m. on Fridays and Saturdays and 12:15 a.m. all other nights. On campus, there are more than 450 student clubs and organizations and about 20 fraternities and sororities. Freshmen must live on campus. The Colorado Buffaloes compete in the NCAA Division I Pac-12 Conference. The student athletes, called Buffs for short, are supported by two buffalo mascots: a costumed student called Chip and a live animal named Ralphie V. The university stresses its commitment to volunteer efforts like Better Boulder Day of Service, a day of community service in the surrounding neighborhoods. For trips off campus, there are 11 ski slopes within 3 hours of campus, and Rocky Mountain National Park is 45 miles away. A bit closer is Denver, the state capital, where students can catch professional sports matches or concerts in the unique outdoor concert hall, Red Rocks Amphitheatre.CU Boulder is the only school in the Rocky Mountain Region to make it into the Association of American Universities, an elite group of 62 research universities. The university has highly ranked graduate programs through the College of Engineering and Applied Science and School of Education. Its Law School stresses experiential learning through clinics, externships, competitions and pro bono work. CU Boulder graduates are immediately inducted into the dues-free alumni association, Forever Buffs, whose particularly distinguished members include ""South Park"" creators Trey Parker and Matt Stone and sportscasters Chris Fowler and Jim Gray.","$38,312(out-of-state)","30,300(fall 2020)"
100,University of Oregon,https://www.usnews.com//best-colleges/university-of-oregon-3223,"Eugene, OR",6 reviews,"University of Oregon students have a variety of extracurricular options to choose from, including joining fraternities and sororities, cheering on the Ducks athletic teams, and checking out local art performances. More than 20 percent of students participate in Greek life.","$39,308(out-of-state)","18,045(fall 2020)"
101,University of Utah,https://www.usnews.com//best-colleges/university-of-utah-3675,"Salt Lake City, UT",6 reviews,"The University of Utah is known to students as the U of U or simply The U. Its campus is located in the state capital, Salt Lake City.","$31,389(out-of-state)","24,643(fall 2020)"
102,Clark University,https://www.usnews.com//best-colleges/clark-university-massachusetts-2139,"Worcester, MA",3 reviews,"Clark University in Worcester, Mass., is a small liberal arts institution in the midst of 11 other colleges and universities. Together, the schools make up the Higher Education Consortium of Central Massachusetts. All Clark students can get a WOO card: a pass that grants discounts at area attractions, baseball games and the local ski slope, Wachusett Mountain. Clark students can also ride the free intercampus shuttle to Becker College, Worcester Polytechnic Institute, Assumption University, Worcester State University and College of the Holy Cross. Students can also hop aboard to get to Worcester Public Library, Worcester Art Museum and the local train and bus station. On campus, Clark students can choose from around 130 clubs and organizations, but the school does not have a Greek system. The Clark Cougars sports teams compete in the NCAA Division III New England Women\'92s and Men\'92s Athletic Conference. Freshmen and sophomores must live on campus, and all students are allowed to bring cars. For road trips, Boston is less than an hour\'92s drive away; New York City is a three-hour trip. Students can explore more than 50 study abroad options after declaring a major, and about one-third of Clark students participate.Research is a particular focus for students at Clark University. Undergraduates are encouraged to get involved, and students showcase their work each semester during Fall Fest and Academic Spree Day. The school's research expertise is a century-long tradition; on campus in 1909, Sigmund Freud gave his famous Clark Lectures about psychoanalysis, and university researchers have been responsible for discoveries that led to the birth control pill and the formula for the wind-chill factor. Notable alumni of Clark University include Matthew Goldman, cofounder of the performance art Blue Man Group; Hugh Panero, former CEO of XM Satellite Radio; Jeffrey Lurie, the owner of the Philadelphia Eagles; and Padma Lakshmi, host of Bravo\'92s ""Top Chef.""","$50,302 ","2,241(fall 2020)"
103,Creighton University,https://www.usnews.com//best-colleges/creighton-university-2542,"Omaha, NE",6 reviews,"Creighton University is a Jesuit institution in Omaha, Nebraska. Creighton has more than 200 student organizations on campus, ranging from the College Democrats to the Swing Dance Society. Many students are involved with student media outlets, which include a newspaper, literary magazine, radio station and yearbook. A thriving Greek community on campus includes more than 10 fraternities and sororities. Ministry also plays a significant role in student life. Creighton offers ministry opportunities such as retreats and community service. The Creighton Bluejays compete in the NCAA Division I Big East Conference. All first- and second-year students are required to live on campus.Creighton University is made up of nine undergraduate, graduate and professional schools and colleges. Graduate programs include those in the School of Law, School of Medicine, College of Nursing and School of Pharmacy and Health Professions. Creighton offers a semesterlong study abroad program in the Dominican Republic and grants credit for a variety of partner and affiliate programs. Students who do not want to go away for an entire semester can take advantage of the faculty-led summer abroad programs.","$44,524 ","4,458(fall 2020)"
104,Drexel University,https://www.usnews.com//best-colleges/drexel-university-3256,"Philadelphia, PA",23 reviews,Drexel University was established in 1891 as a private institution. Drexel University follows a quarter-based academic calendar and students can receive on-the-job experience through the cooperative education program.,"$57,136 ","14,552(fall 2020)"
105,Loyola University Chicago,https://www.usnews.com//best-colleges/loyola-university-chicago-1710,"Chicago, IL",8 reviews,"Loyola University Chicago is the largest Jesuit school in the country. The university has two locations in Chicago, known as Lake Shore and Water Tower, as well as an international campus in Rome.","$47,498 ","11,612(fall 2020)"
106,Miami University--Oxford,https://www.usnews.com//best-colleges/miami-university-7104,"Oxford, OH",11 reviews,"Miami University students make up three-fourths of the population of the approximately 7-square-mile town of Oxford, Ohio. Freshmen must live on campus, which is also home to more than 400 student organizations. The Greek system constitutes a large part of campus life, with about a third of the student body involved in nearly 50 fraternities and sororities. In fact, the school often gets the moniker \'93Mother of Fraternities\'94 because the Beta Theta Pi, Phi Delta Theta, Phi Kappa Tau and Sigma Chi organizations were founded at Miami University. The school is also known as the ""Cradle of Coaches"" for the number of professional and collegiate coaches who once competed for Miami. The RedHawks, who compete in the Division I Mid-American Conference, were known as the Redskins until 1997. The name was changed after years of controversy and a request from the Miami Indian Tribe. (The tribe is the namesake of the university.) To help ease the transition into freshman year, older students often create a guide to life at Miami University, called the ""M Book."" Student couples who marry are known as ""Miami Mergers"" and are reminded of their alma mater each Valentine's Day, when the admissions office sends cards to congratulate former students on finding love at school.To travel around campus and Oxford, students can use the Butler County Regional Transit Authority buses, free with student ID, and the door-to-door SafeRide shuttle service after dark. Cincinnati and Dayton are 35 and 45 miles away, respectively. Notable alumni of Miami University include Paul Brown, Hall of Fame NFL coach; Richard Smucker, chief executive officer of The J.M. Smucker Co.; and Benjamin Harrison, former president of the United States.","$37,379(out-of-state)","16,522(fall 2020)"
107,New Jersey Institute of Technology,https://www.usnews.com//best-colleges/njit-2621,"Newark, NJ",13 reviews,"Founded in 1881, New Jersey Institute of Technology is a public institution. The school has 34.8% of its classes with fewer than 20 students, and the student-faculty ratio at New Jersey Institute of Technology is 15:1.","$33,386(out-of-state)","9,084(fall 2020)"
108,Saint Louis University,https://www.usnews.com//best-colleges/st-louis-university-2506,"St. Louis, MO",6 reviews,"St. Louis University is a Catholic, Jesuit school that is open to students of any faith. The Campus Ministry organizes specialized retreats and mission trips throughout the year, and the on-campus church holds a daily Mass. In addition to religious extracurriculars, students can also choose from more than 150 student organizations at SLU, including more than 20 fraternities and sororities. Freshmen and sophomores must live on campus, unless they commute from a parent's home, are married or have been in the military for at least two years, among other exemptions. In total, about 90 percent of freshmen live on campus \'96 all in halls exclusively for first-year students. Students can get involved in campus leadership positions as early as the second semester of freshman year.The St. Louis Billikens compete in the NCAA Division I Atlantic 10 Conference. The Billiken is an unusual mascot \'96 a smiling, gnome-like figure that is a considered to be a good-luck charm. Off campus, students can explore downtown St. Louis, home to the Grand Center arts district, the Anheuser-Busch Brewery and several professional sports teams. On the nearby Mississippi Riverfront, students can bike, sail and check out the Museum of Westward Expansion.In addition to its main location in Missouri, the university also has a campus in Madrid, Spain, where students can study for the entirety of their college career or for just a semester. At the main campus, graduate students can enroll in the university's law school or medical school. Notable alumni include Enrique Bolanos, former president of Nicaragua, and August Busch IV, former president and CEO of Anheuser-Busch Inc.","$48,824 ","7,357(fall 2020)"
109,Temple University,https://www.usnews.com//best-colleges/temple-university-3371,"Philadelphia, PA",8 reviews,"Temple University is an urban college in Philadelphia that offers around 300 student organizations. Center City, a hub of shopping and city life, is about two miles from campus.","$34,801(out-of-state)","27,306(fall 2020)"
110,University of Arizona,https://www.usnews.com//best-colleges/university-of-arizona-1083,"Tucson, AZ",15 reviews,"The University of Arizona offers its students a wide variety of ways to get involved, from joining the ZonaZoo cheering section at Wildcats sports games to checking out the burgeoning Greek scene with more than 50 fraternities and sororities.","$34,667(out-of-state)","36,503(fall 2020)"
111,University of California--Santa Cruz,https://www.usnews.com//best-colleges/university-of-california-santa-cruz-1321,"Santa Cruz, CA",11 reviews,"At the University of California\'97Santa Cruz, one of 10 schools in the state's university system, residence life can define a student's experience. Nearly 100 percent of freshmen live on campus and choose one of 10 residential colleges to join. These small groups have their own campus locations, as well as unique architecture and programming. Kresge College, for example, is home to an organic garden where students can take classes; students who are members of the College Nine community are often active in volunteer efforts and the college's Alternative Spring Break trips. Students living in residence halls may only have overnight guests 15 times a school year, for a maximum of three nights each visit. Students also have the option to reside in single-occupant recreational vehicles in the Camper Park, a unique community of students who live in university-maintained, home-like vehicles and share a common bathroom and lounge.On campus, there are more than 25 miles of hiking and jogging trails, and more than 150 student clubs and organizations. Only about 1 percent of students are members of the school's small Greek system. The UC Santa Cruz sports teams are independent competitors in the NCAA's Division III. Athletes are cheered on by the Banana Slug, a nontraditional, yellow earthen creature that has been recognized among the best mascots in the country. For fun, students can tour Dead Central, a room full of Grateful Dead memorabilia donated by the band to UCSC, or explore the small beach town of Santa Cruz, located on Monterey Bay. There are rides and games on the Santa Cruz Beach Boardwalk, and opportunities for swimming, sailing and kayaking on the bay. To get around, students can travel on the Santa Cruz Metropolitan Transit District buses for free with school ID. For longer road trips, Monterey is 45 miles away, and San Francisco is a 75-mile trip.In particular, this public research institution\'92s academic prowess looks to the skies. The school is nationally known for astronomy and space sciences programs. Other creative programs include a computer game design major, and UCSC was the first school in the University of California system to offer the degree. Female engineers are in especially good company at UCSC; the school is noted for offering one of the highest percentages of engineering graduate degrees to women. Notable alumni include Pulitzer Prize-winning journalist Dana Priest, NPR broadcast producers Nikki Silva and Davia Nelson, known as The Kitchen Sisters, and romance novelist Jayne Ann Krentz, who often writes under the pseudonyms Amanda Quick and Jayne Castle.","$43,820(out-of-state)","17,207(fall 2020)"
112,University of Illinois--Chicago,https://www.usnews.com//best-colleges/university-of-illinois-chicago-1776,"Chicago, IL",7 reviews,"The University of Illinois\'97Chicago, also known as UIC, is a large, public research institution. Each spring, students present their findings at the Student Research Forum.","$31,787(out-of-state)","21,921(fall 2020)"
113,University of San Francisco,https://www.usnews.com//best-colleges/university-of-san-francisco-1325,"San Francisco, CA",15 reviews,The University of San Francisco is a Jesuit institution located in the California Bay Area. USF is committed to giving back to the surrounding community and offers service-learning semesters for students interested in volunteer work.,"$53,472 ","5,852(fall 2020)"
114,University of South Florida,https://www.usnews.com//best-colleges/university-of-south-florida-1537,"Tampa, FL",13 reviews,"The University of South Florida, or USF, is a large public school that is committed to research. The school has a sizeable commuter population and offers bus transportation and a commuter network to accommodate students who don\'92t live on campus.","$17,324(out-of-state)","38,579(fall 2020)"
115,University of Tennessee,https://www.usnews.com//best-colleges/university-of-tennessee-3530,"Knoxville, TN",5 reviews,"The University of Tennessee is a public research institution in Knoxville, one of the state\'92s largest cities. The UT sports teams compete in the NCAA Division I Southeastern Conference and traditionally draw large crowds during football season.","$31,434(out-of-state)","24,254(fall 2020)"
116,Arizona State University,https://www.usnews.com//best-colleges/arizona-state-university-1081,"Tempe, AZ",18 reviews,"Arizona State University\'92s Tempe campus offers more than 200 research-based programs in the arts, business, engineering and more. The campus is located just outside of Phoenix, in the suburb of Tempe, Arizona.","$29,438(out-of-state)","63,124(fall 2020)"
117,Rochester Institute of Technology,https://www.usnews.com//best-colleges/rit-2806,"Rochester, NY",15 reviews,The Rochester Institute of Technology emphasizes co-op experiences in many of its academic programs. Students may also complete accelerated degree programs to earn both a bachelor's and a master's degree.,"$52,756 ","13,412(fall 2020)"
118,SUNY College of Environmental Science and Forestry,https://www.usnews.com//best-colleges/suny-environmental-science-and-forestry-2851,"Syracuse, NY",2 reviews,"The SUNY College of Environmental Science and Forestry offers students a niche education with the benefits of life at a large institution. ESF, as the small school is known for short, offers about 20 Bachelor of Science degrees ranging from aquatics and fisheries science to paper engineering, as well as a landscape architecture program. Students can get a broader experience, however, through neighbor school Syracuse University. The two institutions, both located in Syracuse, New York, have a collegiate partnership. ESF students can enroll in courses, live in residence halls, use campus facilities and join student organizations at Syracuse University. ESF and Syracuse students even graduate in a joint commencement ceremony each May. All ESF freshmen must live on the school\'92s campus, however. The school has its own array of about 35 clubs. The ESF Mighty Oaks sports teams compete in the United States Collegiate Athletic Association, made up of small schools, and students can take part in club and intramural sports at Syracuse. ESF has an additional campus in the Adirondack Mountains, called the Ranger School, where students can study forest technology, land surveying technology, and environmental and natural resources conservation. The Ranger School offers associate degree programs, as well as courses toward a bachelor's degree. Earth Day is a weeklong celebration at the environmental school, with events like yoga on the campus quad, student-wide barbecues and volunteer clean-ups of local streams.ESF is one of 64 schools in the State University of New York system. The university is often recognized for its sustainability efforts, and its faculty is highly engaged in research projects. ESF has produced notable graduates, including Reginald Balch, a Canadian photographer and scientist, and Sol Feinstone, a historian and author.","$19,976(out-of-state)","1,731(fall 2020)"
119,University of South Carolina,https://www.usnews.com//best-colleges/university-of-south-carolina-3448,"Columbia, SC",11 reviews,"At the University of South Carolina, freshmen students are eased into college life through University 101, a transition program pioneered at the school. The Columbia campus is the flagship location for the University of South Carolina system.","$33,928(out-of-state)","27,270(fall 2020)"
120,University of Vermont,https://www.usnews.com//best-colleges/university-of-vermont-3696,"Burlington, VT",6 reviews,"Nestled between the Adirondack and Green Mountains is the University of Vermont, a quasi-public school founded in 1791. It is known colloquially as UVM, which is Latin for Universitas Viridis Montis, or University of the Green Mountains. Students who want to take advantage of the surrounding nature in Burlington, Vermont, can rent skis, snowshoes, canoes and camping equipment on campus. Students don\'92t have to go far for an adventure, though; UVM has an adventure ropes course and an indoor rock climbing wall. There are more than 170 student organizations on campus, including about 15 fraternities and sororities. Fewer than 10 percent of students go Greek. Freshmen and sophomores must live on campus. The Catamounts athletic teams compete in the NCAA Division I America East Conference, cheered on by a mountain cat mascot named Rally. In Burlington, students can explore the outdoor Church Street Marketplace, a collection of restaurants and boutiques, or relax on the shores of Lake Champlain. For a more urban experience, Montreal and Boston are about 100 and 220 miles away, respectively.Among the university's programs for graduate students is the highly ranked College of Medicine. In addition to traditional classrooms on campus, the University of Vermont has the Rubenstein Ecosystem Science Laboratory, a waterfront campus with a floating classroom on Lake Champlain. Students can study lake ecology aboard the Melosira, a research vessel. The university also owns four farms, where students can research agricultural topics. Among the ranks of the university's distinguished alumni are John Dewey, an educational philosopher; Jody Williams, a Nobel Peace Prize-winning activist for her campaign against land mines; and Jon Kilik, the film producer responsible for ""Malcolm X"" and ""Babel.""","$43,890(out-of-state)","11,136(fall 2020)"
121,Chapman University,https://www.usnews.com//best-colleges/chapman-university-1164,"Orange, CA",2 reviews,"Situated in the center of Orange County, Calif., Chapman University is a private school with a picturesque, convenient location. Students at Chapman live in the residential city of Orange, with Los Angeles, Long Beach, and Disneyland nearby.","$57,214 ","7,404(fall 2020)"
122,Illinois Institute of Technology,https://www.usnews.com//best-colleges/illinois-institute-of-technology-1691,"Chicago, IL",4 reviews,"The Illinois Institute of Technology, a private university in Chicago, provides a variety of options for students interested in the sciences. IIT offers a wide range of engineering degree programs, as well as degrees in architecture, political science and more.","$50,640 ","3,123(fall 2020)"
123,Iowa State University of Science and Technology,https://www.usnews.com//best-colleges/iowa-state-university-1869,"Ames, IA",4 reviews,"Iowa State University of Science and Technology dwarfs Ames, the small town in which it resides. The large school offers more than 850 student organizations, and sports are a big part of campus life. The Iowa State Cyclones compete in the NCAA Division I Big 12 Conference and share a special rivalry with the University of Iowa Hawkeyes. Despite the Cyclones moniker, the school mascot is a cardinal named Cy because a cyclone was hard to put into costume form. There are more than 60 fraternities and sororities at Iowa State, and most chapters have their own houses. Freshmen do not have to live on campus.There are more than 100 undergraduate majors offered at Iowa State, and, through the Soar in 4 initiative, advisers work with students to ensure they graduate in four years. For a study break, students can take a stroll through the roses in Reiman Gardens or check out more than 2,000 works of art around the campus \'96 one of the largest collections at any school in the country. For trips off campus, Des Moines is 30 minutes away.Iowa State University of Science and Technology offers highly ranked graduate programs through its College of Veterinary Medicine and College of Engineering, and qualified undergrads can take special courses in human-computer interaction. The university is a land-grant institution, meaning faculty and students work on research projects that better the community as a whole. At the university's Iowa Agriculture and Home Economics Experiment Station, researchers work on air quality, biorenewable, crop and livestock, environmental and human health projects. The campus is also home to the Ames Laboratory, a research center for the U.S. Department of Energy. Notable alumni include Bruce Roth, inventor of the medication Lipitor, and Carrie Chapman Catt, co-founder of the League of Women Voters.","$24,504(out-of-state)","26,846(fall 2020)"
124,University of Kansas,https://www.usnews.com//best-colleges/university-of-kansas-1948,"Lawrence, KS",2 reviews,"Founded in 1865, University of Kansas is a public institution. The school has 60.6% of its classes with fewer than 20 students, and the student-faculty ratio at University of Kansas is 17:1.","$28,034(out-of-state)","19,135(fall 2020)"
125,University of Missouri,https://www.usnews.com//best-colleges/university-of-missouri-2516,"Columbia, MO",5 reviews,"Students at the University of Missouri live in a unique botanical garden, with more than 40,000 plants across campus. More than a third of high school seniors from Missouri attend Mizzou each year, and all freshmen must live on campus. As the only Division I-A sports school in the state, the Missouri Tigers teams are a big focus of campus life. The teams compete in the NCAA Division I Southeastern Conference and are particularly competitive in football. The school mascot, Truman the Tiger, is named after former President Harry Truman, who was born in Missouri. Mizzou has more than 600 clubs and organizations for students. More than 20 percent of students join the school's Greek system, which is made up of 50-plus fraternities and sororities. Students also have a vast array of degree options, with more than 280 majors, nearly 70 of which can be completed online. The university's hometown of Columbia is in central Missouri and is host to annual events like the Roots 'n Blues 'n BBQ music festival and Art in the Park, a large creative works showcase. To travel around campus and the town on the weekends, students have free access to STRIPES, a transportation service that delivers riders to their homes from 10 p.m. to 3 a.m. Thursday through Sunday.The University of Missouri has highly ranked graduate programs at the College of Education and Robert J. Trulaske, Sr. College of Business, as well as a School of Medicine and a Tier 1 School of Law. This public research university offers opportunities for students to team up on faculty-led projects as early as their freshman year. Among the scores of notable Mizzou alumni are actor Jon Hamm, singer Sheryl Crow and U.S. Sen. Claire McCaskill. Playwright Tennessee Williams, who won the Pulitzer Prize for ""A Street Car Named Desire,"" attended but did not graduate.","$30,450(out-of-state)","23,396(fall 2020)"
126,Clarkson University,https://www.usnews.com//best-colleges/clarkson-university-2699,"Potsdam, NY",4 reviews,"Clarkson University is a private institution in northern New York, where students can attend several annual events, get involved with Greek life, and explore numerous varsity and recreational sports. Off campus, Clarkson students can discover the nearby Adirondack Mountains and Lake Placid, drive an hour to Canada or take a day trip to New York City.","$54,370 ","2,905(fall 2020)"
127,DePaul University,https://www.usnews.com//best-colleges/depaul-university-1671,"Chicago, IL",12 reviews,"DePaul University is a large institution spread across six campuses in and around Chicago. The university offers a variety of academic programs, including the School for New Learning, which caters exclusively to adult students.","$42,012 ","14,145(fall 2020)"
128,Gallaudet University,https://www.usnews.com//best-colleges/gallaudet-university-1443,"Washington, DC",1 review,"Founded in 1864, Gallaudet University is a private institution. ","$17,112 ","1,019(fall 2020)"
129,Rutgers University--Newark,https://www.usnews.com//best-colleges/rutgers-newark-2631,"Newark, NJ",3 reviews,"Rutgers, the State University of New Jersey\'97Newark is located in the largest city in the state. More than 60 percent of students complete majors in the Newark College of Arts and Sciences.","$32,409(out-of-state)","9,118(fall 2020)"
130,Seattle University,https://www.usnews.com//best-colleges/seattle-university-3790,"Seattle, WA",1 review,"Seattle University is a private institution that has a strong focus on its Jesuit mission. Most Seattle students volunteer through programs such as the Children\'92s Literacy Project, which allows them to tutor children in local schools.","$49,335 ","4,299(fall 2020)"
131,Seton Hall University,https://www.usnews.com//best-colleges/seton-hall-university-new-jersey-2632,"South Orange, NJ",6 reviews,"A private, Catholic school in South Orange, N.J., Seton Hall University is about a 30-minute train ride to New York City. Many students take advantage of the university\'92s location by interning and job hunting in the nearby city while still enjoying the clubs, Greek life, and Division I sports on campus. ","$46,880 ","5,913(fall 2020)"
132,University of Dayton,https://www.usnews.com//best-colleges/university-of-dayton-3127,"Dayton, OH",4 reviews,"Located about an hour away from both Cincinnati and the Ohio state capital of Columbus, the University of Dayton is a private school that encourages its students to practice their Catholic faith on campus. Students can also get involved in more than 200 organizations, the campus radio and television stations, and Division I varsity sports.","$44,890 ","8,644(fall 2020)"
133,University of Kentucky,https://www.usnews.com//best-colleges/university-of-kentucky-1989,"Lexington, KY",7 reviews,"Located in the city of Lexington, the University of Kentucky offers Division I sports, Greek life, and nearly 350 student organizations. Off campus, Lexington can also be a source of fun for students, who can shop, golf, tour a museum, browse the farmers\'92 market, or spend a day at the horse track.","$31,608(out-of-state)","22,227(fall 2020)"
134,University of Oklahoma,https://www.usnews.com//best-colleges/university-of-oklahoma-3184,"Norman, OK",7 reviews,"The University of Oklahoma is a large, public research institution in Norman. Its campus is also home to the National Weather Center, where undergraduates can find research and study opportunities.","$25,116(out-of-state)","21,383(fall 2020)"
135,The Catholic University of America,https://www.usnews.com//best-colleges/the-catholic-university-of-america-1437,"Washington, DC",5 reviews,"The Catholic University of America is the national university of the Catholic Church. With the school's location in Washington, D.C., students have easy access to national landmarks.","$52,156 ","3,055(fall 2020)"
136,Drake University,https://www.usnews.com//best-colleges/drake-university-1860,"Des Moines, IA",4 reviews,"Drake University, located in Des Moines, Iowa, offers a range of student activities. The Donald V. Adams Leadership Institute offers courses, workshops and other opportunities for students throughout the year. Among the more than 150 student organizations are Colleges Against Cancer, a campus newspaper and a number of club and intramural sports teams, including badminton, racquetball and tennis. A sizeable Greek community encompasses about a dozen fraternities and sororities. Drake provides housing in its eight residence halls, and the majority of students live on campus. The Drake Bulldogs compete primarily in the Division I Missouri Valley Conference.Drake is made up of six schools and colleges. Graduate programs include those in the School of Education, School of Law and the College of Pharmacy and Health Sciences. Campus traditions include Street Painting, an annual celebration during which organizations decorate a street on campus, and the Beautiful Bulldog Contest, held every year to find a mascot for the annual Drake Relays outdoor track and field competition. One student rite of passage: receiving a kiss from your loved one on the kissing rock on Drake's campus.","$45,962 ","2,848(fall 2020)"
137,The New School,https://www.usnews.com//best-colleges/the-new-school-20662,"New York, NY",,"Located in the heart of New York City's Greenwich Village, The New School has 45 undergraduate majors and nearly 60 minors across five schools and colleges. The New School comprises the Parsons School of Design, Eugene Lang College of Liberal Arts, The New School for Social Research, College of Performing Arts and the Schools of Public Engagement.Students can choose from many Bachelor of Fine Arts programs through Parsons including fashion design, illustration, photography, interior design, design and technology, and integrated design. Outside of the fine art world, The New School caters to many areas of study with majors in environmental studies, psychology, media studies, interdisciplinary science, urban studies, anthropology and economics. The New School has a global campus in Paris and offers study abroad exchange programs in 10 countries, with the option to enroll in outside programs through other schools, as well.About 30% of students are international and represent almost 100 countries. Students are not required to live on campus and a majority of students live off campus. The New School has club and intramural sports, fitness classes, and more than 40 student organizations. Notable alumni include former president and creative director of J.Crew, Jenna Lyons, and Grammy Award-winning actor Bradley Cooper.","$52,979 ","6,430(fall 2020)"
